chr	pos1	pos2	chr2	pos3	pos4	length	width	Mean	maxpixel	pvalue	Stripiness
chr1	200480001	200540000	chr1	199430001	200540000	1110000	60000	104.78793642101868	99.0%	0.0063626723223753	6.201841605851952
chr1	245120001	245170000	chr1	245120001	246810000	1690000	50000	67.96176709908686	98.0%	0.0296924708377518	4.502195594451297
chr1	100840001	100890000	chr1	99610001	100890000	1280000	50000	92.990460865008	99.0%	0.0233051108978998	3.695404305291349
chr1	172710001	172760000	chr1	172710001	174210000	1500000	50000	77.46823703894708	99.0%	0.0699893955461293	3.031220625609084
chr1	246430001	246490000	chr1	245230001	246490000	1260000	60000	89.13164234072934	99.0%	0.0672642192260432	2.890375762711276
chr1	181140001	181190000	chr1	180500001	181190000	690000	50000	151.19953842131014	99.0%	0.0371155885471898	2.261609802569338
chr1	211660001	211700000	chr1	211660001	213070000	1410000	40000	83.72436373252665	98.0%	0.037037037037037	2.2535530821475764
chr1	64220001	64270000	chr1	63550001	64270000	720000	50000	128.08658484920252	99.0%	0.0656084656084656	1.8291528034441504
chr1	178520001	178570000	chr1	178520001	179380000	860000	50000	128.1329363419647	99.0%	0.051905715744528	1.823952146877726
chr1	7960001	8030000	chr1	7960001	9090000	1130000	70000	115.9135635978979	98.0%	0.04135737009544	1.6993604003957343
chr1	52650001	52690000	chr1	52030001	52690000	660000	40000	163.18062881630485	99.0%	0.0540827147401908	1.595595237597604
chr1	199670001	199710000	chr1	199670001	200850000	1180000	40000	90.106839978135	97.0%	0.0566137566137566	1.5347808344961975
chr1	6700001	6760000	chr1	6700001	7650000	950000	60000	114.99513818648376	99.0%	0.0359788359788359	1.4672281339029338
chr1	66190001	66250000	chr1	65690001	66250000	560000	60000	163.37591031942677	99.0%	0.0233297985153764	1.3413316585213138
chr1	160580001	160620000	chr1	160080001	160620000	540000	40000	219.9959284470033	99.0%	0.0641569459172852	1.3115031288236465
chr1	212440001	212490000	chr1	212440001	213060000	620000	50000	156.0556793580336	99.0%	0.0715026342810012	1.2817450907387136
chr1	66740001	66780000	chr1	66740001	67500000	760000	40000	116.13836302780392	99.0%	0.0243386243386243	1.2481326067171243
chr1	245970001	246020000	chr1	245230001	246020000	790000	50000	121.20570871029342	99.0%	0.0708994708994708	1.245768872531781
chr1	54780001	54830000	chr1	54040001	54830000	790000	50000	130.5368771663447	99.0%	0.0677248677248677	1.1952373740421638
chr1	116100001	116160000	chr1	116100001	117130000	1030000	60000	108.93480859514985	98.0%	0.0678685047720042	1.1835019689884765
chr1	53250001	53290000	chr1	53250001	53790000	540000	40000	175.72237261120483	99.0%	0.0624338624338624	1.15428583795249
chr1	165370001	165410000	chr1	165370001	165920000	550000	40000	161.66501794227707	99.0%	0.0402116402116402	1.1021460123750546
chr1	65650001	65710000	chr1	65020001	65710000	690000	60000	136.64776867772113	99.0%	0.0286320254506892	0.8597630856109894
chr1	236070001	236120000	chr1	236070001	237160000	1090000	50000	102.61302166994558	98.0%	0.0455026455026455	0.8462347023307702
chr1	62730001	62770000	chr1	62170001	62770000	600000	40000	167.87427442529682	99.0%	0.0509013785790031	0.7222582748447215
chr1	61820001	61880000	chr1	60950001	61880000	930000	60000	103.43743744761872	99.0%	0.0763520678685047	0.6538413319449236
chr1	225440001	225480000	chr1	225440001	226220000	780000	40000	129.04266189209127	99.0%	0.0795334040296924	0.6191079615917412
chr1	86360001	86400000	chr1	86360001	87110000	750000	40000	129.28913994196586	99.0%	0.0445387062566277	0.6016761068230856
chr1	24640001	24710000	chr1	24640001	25220000	580000	70000	207.4153474076568	99.0%	0.0851851851851851	0.5622725005079607
chr1	218310001	218360000	chr1	218310001	219670000	1360000	50000	79.83471586348479	99.0%	0.0721102863202545	0.5610449630062462
chr1	32870001	32940000	chr1	32870001	33490000	620000	70000	165.52271002469132	99.0%	0.0682539682539682	0.5451040242478371
chr1	87070001	87120000	chr1	86360001	87120000	760000	50000	141.3687535988633	99.0%	0.0906680805938494	0.4946635956524549
chr1	23200001	23270000	chr1	22130001	23270000	1140000	70000	97.59375418537344	98.0%	0.0434782608695652	0.4545139261240334
chr1	184760001	184830000	chr1	184760001	185680000	920000	70000	119.58129761597252	98.0%	0.0661375661375661	0.4316989157677359
chr1	28790001	28850000	chr1	28790001	30680000	1890000	60000	58.910624070453	97.0%	0.0774125132555673	0.4288312272385944
chr1	116430001	116490000	chr1	115780001	116490000	710000	60000	154.39047268072937	99.0%	0.0551431601272534	0.3585801080664467
chr1	23390001	23460000	chr1	22550001	23460000	910000	70000	112.84926868555009	99.0%	0.0933191940615058	0.318060656121204
chr1	40090001	40140000	chr1	40090001	40960000	870000	50000	148.44961169491324	99.0%	0.0708994708994708	0.2817587472503629
chr1	243300001	243340000	chr1	242440001	243340000	900000	40000	115.27604439375516	99.0%	0.0926879765692066	0.1681032897238698
chr1	181440001	181480000	chr1	181440001	182410000	970000	40000	102.55647798115776	98.0%	0.0922587486744432	0.0908347301640598
chr1	24160001	24220000	chr1	24160001	25030000	870000	60000	134.73020136987424	98.0%	0.0752916224814422	-0.1330715861131657
chr1	192440001	192490000	chr1	192440001	193580000	1140000	50000	103.87072179626936	99.0%	0.0380952380952381	-0.2175355512899211
chr1	12590001	12630000	chr1	11870001	12630000	760000	40000	142.35026598959536	98.0%	0.0853658536585365	-0.2744658256896656
chr1	2430001	2490000	chr1	2430001	4980000	2550000	60000	51.12117374660767	96.0%	0.056084656084656	-0.4358629631872391
chr1	198680001	198720000	chr1	197330001	198720000	1390000	40000	82.45238127778042	96.0%	0.088016967126193	-0.5179924627402016
chr1	2310001	2380000	chr1	1920001	2380000	460000	70000	222.3428534389623	99.0%	0.0636267232237539	-0.5368081873583672
chr1	223630001	223680000	chr1	222720001	223680000	960000	50000	103.68834321896686	98.0%	0.0466595970307529	-0.5790311809325328
chr1	25370001	25420000	chr1	25370001	26350000	980000	50000	124.95499277349522	98.0%	0.088016967126193	-0.7714362594623323
chr1	93830001	93890000	chr1	92820001	93890000	1070000	60000	104.9581278153572	98.0%	0.04135737009544	-0.7943741522477838
chr1	209840001	209880000	chr1	209840001	211160000	1320000	40000	72.1607013824939	98.0%	0.0995786272562518	-0.8024793304963147
chr1	16600001	16650000	chr1	15670001	16650000	980000	50000	66.69255066686814	98.0%	0.0275424037884271	-0.932804201463436
chr1	222420001	222460000	chr1	221240001	222460000	1220000	40000	83.69121894293163	99.0%	0.0449735449735449	-1.0677499286115473
chr1	206090001	206150000	chr1	205310001	206150000	840000	60000	136.59168863757688	98.0%	0.0645502645502645	-1.0984525260253044
chr1	96470001	96500000	chr1	96470001	97390000	920000	30000	96.23895926764908	96.0%	0.0895144955590342	-1.142853275097243
chr1	216020001	216060000	chr1	214890001	216060000	1170000	40000	83.29836682299272	97.0%	0.0784729586426299	-1.440233676784946
chr1	224050001	224090000	chr1	222670001	224090000	1420000	40000	70.13021600292221	96.0%	0.0551431601272534	-1.868160068683051
chr1	219610001	219680000	chr1	218850001	219680000	830000	70000	107.2927258131442	99.0%	0.0941798941798941	-2.1170735583605644
chr1	71540001	71580000	chr1	70560001	71580000	1020000	40000	95.9731439660097	98.0%	0.0965005302226935	-2.3940035091307164
chr1	219540001	219580000	chr1	218630001	219580000	950000	40000	105.91519043783848	99.0%	0.0529100529100529	-2.4203895449782573
chr1	118970001	119030000	chr1	118050001	119030000	980000	60000	128.00777470032992	99.0%	0.0668080593849416	-2.597130165381045
chr1	164100001	164140000	chr1	164100001	166380000	2280000	40000	51.19253478514496	95.0%	0.0254506892895015	-2.6696011882690285
chr1	74170001	74210000	chr1	74170001	75790000	1620000	40000	66.7395181558416	96.0%	0.0885471898197242	-2.701894239192031
chr1	25230001	25260000	chr1	25230001	26220000	990000	30000	102.71713180215131	98.0%	0.0784729586426299	-2.908719564169796
chr1	196700001	196740000	chr1	196700001	198320000	1620000	40000	67.47229903727477	96.0%	0.019047619047619	-3.1564191899089864
chr1	80850001	80930000	chr1	80850001	82900000	2050000	80000	54.64760560312864	96.0%	0.0783068783068783	-3.34940695709966
chr1	80970001	81030000	chr1	80970001	82900000	1930000	60000	57.46050613187945	96.0%	0.0984126984126984	-3.635464367172295
chr1	102550001	102610000	chr1	101180001	102610000	1430000	60000	76.66518136568943	98.0%	0.080593849416755	-3.64684377554914
chr1	239380001	239420000	chr1	239380001	242810000	3430000	40000	34.20768005946765	95.0%	0.0402116402116402	-3.776021237747713
chr1	1730001	1770000	chr1	940001	1770000	830000	40000	143.00033777780996	99.0%	0.0721102863202545	-3.857264095003977
chr1	106290001	106360000	chr1	106290001	106920000	630000	70000	185.82759725303936	99.0%	0.0857142857142857	-3.859240439738741
chr1	239300001	239350000	chr1	239300001	242930000	3630000	50000	33.768607148360545	95.0%	0.0402969247083775	-4.185780698789614
chr1	81940001	81980000	chr1	79330001	81980000	2650000	40000	45.97843267083344	95.0%	0.0763520678685047	-4.212751409140587
chr1	194020001	194060000	chr1	192100001	194060000	1960000	40000	59.17943809442243	97.0%	0.0455991516436903	-4.420634967038282
chr1	102380001	102450000	chr1	99020001	102450000	3430000	70000	37.25631948941684	95.0%	0.0391534391534391	-4.629318931310349
chr1	106000001	106100000	chr1	106000001	107200000	1200000	100000	107.26286953941712	98.0%	0.0978835978835978	-4.7268398007314
chr1	188050001	188090000	chr1	185280001	188090000	2810000	40000	45.06096262118656	96.0%	0.0455991516436903	-4.884327075536477
chr1	191880001	191920000	chr1	191880001	194550000	2670000	40000	48.615865419362	95.0%	0.0423280423280423	-4.946458531346314
chr1	105870001	105920000	chr1	105870001	107400000	1530000	50000	77.98509675294207	98.0%	0.037037037037037	-5.10220539492043
chr1	194790001	194860000	chr1	193030001	194860000	1830000	70000	76.95178964824402	96.0%	0.0211640211640211	-5.327617149531313
chr1	194240001	194300000	chr1	192640001	194300000	1660000	60000	76.86296953608877	98.0%	0.0074231177094379	-5.495835332639021
chr1	80340001	80380000	chr1	78150001	80380000	2230000	40000	52.2492736205265	95.0%	0.0232804232804232	-5.725531939015789
chr1	102830001	102880000	chr1	99180001	102880000	3700000	50000	34.746582897201606	96.0%	0.0127253446447507	-5.831059470531005
chr1	190170001	190210000	chr1	190170001	192370000	2200000	40000	83.21346899049445	96.0%	0.0211640211640211	-5.843898840217303
chr1	217650001	217690000	chr1	216260001	217690000	1430000	40000	79.912635160076	98.0%	0.0254506892895015	-5.854891162243507
chr1	194520001	194570000	chr1	191880001	194570000	2690000	50000	48.65008916036642	96.0%	0.024390243902439	-5.974683189403614
chr1	194360001	194450000	chr1	193010001	194450000	1440000	90000	83.38415147081743	99.0%	0.0530222693531283	-6.310765345262333
chr1	80340001	80370000	chr1	80340001	82930000	2590000	30000	47.21754870406483	96.0%	0.0444444444444444	-6.451843136774208
chr1	217730001	217800000	chr1	215170001	217800000	2630000	70000	48.28983574337023	96.0%	0.0116648992576882	-6.572661781928592
chr1	98460001	98500000	chr1	95140001	98500000	3360000	40000	35.273418782718984	95.0%	0.0497870692992644	-6.743325626499804
chr1	188180001	188210000	chr1	185690001	188210000	2520000	30000	52.541303447756434	96.0%	0.0169312169312169	-7.1383740834377925
chr1	239520001	239570000	chr1	237370001	239570000	2200000	50000	60.41108989528552	96.0%	0.0227995758218451	-8.483698746362586
chr1	196480001	196570000	chr1	193520001	196570000	3050000	90000	57.50437845832405	96.0%	0.0657476139978791	-8.873384666403348
chr1	188640001	188700000	chr1	187220001	188700000	1480000	60000	102.12882226996334	98.0%	0.0402116402116402	-9.71670866316048
chr1	189400001	189450000	chr1	187170001	189450000	2280000	50000	71.12522930448455	97.0%	0.0222693531283138	-10.054663106439016
chr1	2610001	2650000	chr1	2610001	4980000	2370000	40000	43.6430950906509	96.0%	0.0825396825396825	-11.646966195202772
chr1	16710001	16800000	chr1	16710001	18870000	2160000	90000	37.150301506406905	95.0%	0.028042328042328	
chr1	108320001	108370000	chr1	105070001	108370000	3300000	50000	41.80972161118886	95.0%	0.0042417815482502	
chr1	188760001	188810000	chr1	185760001	188810000	3050000	50000	47.14848145435926	95.0%	0.0042417815482502	
chr1	195070001	195110000	chr1	193020001	195110000	2090000	40000	71.46710156237742	95.0%	0.0074074074074074	
chr1	243100001	243160000	chr1	241010001	243160000	2150000	60000	42.42919144405565	95.0%	0.0455991516436903	
chr1	195170001	195220000	chr1	193010001	195220000	2210000	50000	61.85120728043248	96.0%	0.0074231177094379	
chr1	16710001	16800000	chr1	13970001	16800000	2830000	90000	32.12430839404379	97.0%	0.0212089077412513	
chr1	105590001	105690000	chr1	105590001	107330000	1740000	100000	68.84681309760833	97.0%	0.0566137566137566	
chr1	148260001	148320000	chr1	147030001	148320000	1290000	60000	116.60572219647656	97.0%	0.0657476139978791	
chr1	13110001	13250000	chr1	13110001	14620000	1510000	140000	58.13734229081432	98.0%	0.037037037037037	
chr1	206410001	206460000	chr1	205340001	206460000	1120000	50000	99.78536795951166	99.0%	0.0365853658536585	
chr1	228490001	228530000	chr1	227450001	228530000	1080000	40000	111.65307256117504	99.0%	0.0449735449735449	
chr2	213240001	213280000	chr2	213240001	215960000	2720000	40000	41.42368167948264	98.0%	0.0243386243386243	4.209865326039265
chr2	96040001	96080000	chr2	96040001	98980000	2940000	40000	40.84520602742883	95.0%	0.0333333333333333	3.5169005147768573
chr2	215900001	215950000	chr2	213820001	215950000	2130000	50000	52.28043541431248	98.0%	0.0264550264550264	2.6348719575690134
chr2	10400001	10450000	chr2	9780001	10450000	670000	50000	150.79348696484126	99.0%	0.0582010582010582	2.5537198267297114
chr2	38250001	38290000	chr2	37260001	38290000	1030000	40000	101.36011096240152	99.0%	0.0359788359788359	2.4985351791343766
chr2	57700001	57770000	chr2	57700001	58900000	1200000	70000	80.42110519902683	99.0%	0.0693121693121693	2.3668720261538496
chr2	177090001	177160000	chr2	176120001	177160000	1040000	70000	90.05214874138856	99.0%	0.0486772486772486	2.181267214190821
chr2	12680001	12740000	chr2	11860001	12740000	880000	60000	93.50574830651156	99.0%	0.0391534391534391	2.1755034644320683
chr2	176110001	176150000	chr2	176110001	177420000	1310000	40000	73.56696606653	98.0%	0.0211640211640211	2.1667235967657392
