#chr1	x1	x2	chr2	y1	y2	P_val
chr1	1775000	1800000	chr1	1850000	1925000	3.029457392578395e-14
chr1	2395000	2440000	chr1	2500000	2685000	1.52353879309598e-20
chr1	6225000	6270000	chr1	6325000	6490000	1.1760027673155544e-18
chr1	8010000	8045000	chr1	8245000	8360000	7.977664081854942e-12
chr1	8545000	8580000	chr1	8650000	8775000	1.1140017873210945e-17
chr1	9090000	9125000	chr1	9190000	9275000	1.6764745278660315e-06
chr1	9270000	9315000	chr1	9405000	9535000	2.0826421702065716e-25
chr1	10480000	10525000	chr1	10860000	11030000	2.239940180353074e-16
chr1	11015000	11060000	chr1	11215000	11405000	2.4471538427141277e-06
chr1	12105000	12150000	chr1	12170000	12270000	2.2416402153868266e-16
chr1	13645000	13680000	chr1	13750000	13860000	1.7058418781247103e-19
chr1	13815000	13850000	chr1	13915000	14005000	0.00014406395044562424
chr1	15095000	15140000	chr1	15260000	15360000	7.100258118755167e-05
chr1	15300000	15345000	chr1	15405000	15535000	5.865815588682585e-09
chr1	15780000	15825000	chr1	15920000	16095000	4.272500936309834e-61
chr1	16055000	16100000	chr1	16145000	16275000	7.478828108024347e-13
chr1	17105000	17150000	chr1	17185000	17300000	1.664712651665372e-08
chr1	17480000	17525000	chr1	17550000	17665000	2.8774498195702e-15
chr1	18575000	18620000	chr1	18780000	18880000	0.0008906956837666136
chr1	18890000	18945000	chr1	19000000	19280000	9.447191646651523e-14
chr1	19900000	19945000	chr1	20110000	20235000	1.4757205703693008e-11
chr1	20190000	20235000	chr1	20425000	20535000	4.211329369110543e-05
chr1	20495000	20540000	chr1	20605000	20720000	0.0003565671089643901
chr1	21210000	21255000	chr1	21360000	21695000	6.02003271671855e-22
chr1	22115000	22150000	chr1	22325000	22465000	6.334357981924313e-09
chr1	22685000	22720000	chr1	22850000	22945000	0.00017063170757850544
chr1	23080000	23125000	chr1	23145000	23240000	2.8349032186331084e-05
chr1	23790000	23835000	chr1	23860000	23955000	1.9353460735391092e-09
chr1	24175000	24220000	chr1	24330000	24430000	1.1175666217775468e-05
chr1	24665000	24710000	chr1	24745000	24875000	2.1017969406697987e-30
chr1	24825000	24870000	chr1	25135000	25255000	2.951801501831221e-06
chr1	26585000	26640000	chr1	26665000	26880000	2.6755274441702072e-42
chr1	27385000	27420000	chr1	27520000	27670000	1.75112307008609e-13
chr1	27840000	27885000	chr1	27925000	28035000	3.950507032562569e-12
chr1	28070000	28115000	chr1	28150000	28260000	1.0485986765922767e-16
chr1	28860000	28905000	chr1	29125000	29225000	0.008299190960868919
chr1	31155000	31200000	chr1	31340000	31460000	3.626687059517581e-06
chr1	31640000	31685000	chr1	31720000	31840000	5.0927163879830064e-17
chr1	32200000	32235000	chr1	32285000	32395000	4.113500806593392e-10
chr1	32500000	32545000	chr1	32600000	32765000	3.876784840531548e-07
chr1	32910000	32965000	chr1	32990000	33125000	5.680766231866742e-26
chr1	35425000	35470000	chr1	35510000	35610000	6.48440861726403e-08
chr1	35545000	35590000	chr1	35710000	35835000	1.4404159062011844e-11
chr1	37870000	37915000	chr1	37935000	38035000	6.963963162044676e-10
chr1	39075000	39120000	chr1	39475000	39600000	0.0015130697207444432
chr1	39790000	39835000	chr1	39895000	40070000	1.3187286570888393e-17
chr1	39905000	39940000	chr1	39970000	40060000	7.364641716436407e-08
chr1	40125000	40170000	chr1	40250000	40390000	4.21289763647836e-11
chr1	41255000	41280000	chr1	41420000	41505000	3.101235943798468e-08
chr1	41550000	41595000	chr1	41785000	41920000	6.834696923344262e-07
chr1	42325000	42360000	chr1	42655000	42770000	5.4673310214782156e-05
chr1	42560000	42605000	chr1	42670000	42795000	5.659813590887197e-07
chr1	42890000	42945000	chr1	43005000	43125000	9.647312520040407e-08
chr1	43205000	43250000	chr1	43330000	43485000	5.4074497368623646e-18
chr1	43515000	43550000	chr1	43900000	44080000	5.464636322888613e-08
chr1	43740000	43785000	chr1	43855000	43980000	1.1834682551126478e-19
chr1	44720000	44745000	chr1	44780000	44855000	1.5028846532561685e-26
chr1	44995000	45040000	chr1	45230000	45370000	1.7318344196148156e-19
chr1	45325000	45380000	chr1	45455000	45595000	1.066025336096177e-15
chr1	46015000	46060000	chr1	46120000	46265000	1.613803569298541e-43
chr1	48090000	48145000	chr1	48165000	48270000	0.00017444938079196203
chr1	50350000	50395000	chr1	50665000	50805000	8.43765787708629e-09
chr1	51870000	51915000	chr1	51955000	52065000	9.161224512470939e-08
chr1	52115000	52160000	chr1	52250000	52355000	1.2635865367925248e-06
chr1	53265000	53300000	chr1	53335000	53440000	7.13515813422738e-14
chr1	53830000	53885000	chr1	53925000	54110000	7.544947302815883e-10
chr1	55125000	55160000	chr1	55210000	55310000	8.101250421402226e-10
chr1	58495000	58530000	chr1	58635000	58720000	9.052501038782804e-06
chr1	58710000	58765000	chr1	59660000	59805000	1.0701251173840529e-16
chr1	62155000	62200000	chr1	62345000	62460000	2.2836501061675874e-09
chr1	62845000	62850000	chr1	63430000	63485000	0.04282398843436242
chr1	64245000	64290000	chr1	64780000	64880000	0.025152914160599525
chr1	65220000	65255000	chr1	65630000	65725000	0.04233633768417025
chr1	65935000	65980000	chr1	66175000	66290000	5.395908586163669e-10
chr1	66225000	66270000	chr1	66385000	66515000	1.1064912756607775e-18
chr1	66745000	66790000	chr1	66870000	67285000	2.4063586455608544e-16
chr1	66975000	67010000	chr1	67135000	67230000	1.7264901403540832e-05
chr1	67550000	67595000	chr1	67670000	67780000	2.5197398843967167e-05
chr1	68100000	68135000	chr1	68305000	68440000	5.810666869697294e-09
chr1	70110000	70155000	chr1	70445000	70570000	1.241362252577695e-14
chr1	74755000	74800000	chr1	75135000	75275000	4.609741542844677e-15
chr1	78105000	78160000	chr1	78550000	78740000	1.8890635360910463e-20
chr1	84120000	84175000	chr1	84370000	84475000	0.0011829963053162779
chr1	84415000	84460000	chr1	84705000	84800000	0.03082852665363654
chr1	84920000	84965000	chr1	85020000	85150000	1.4809206475812e-09
chr1	86360000	86405000	chr1	86675000	86815000	0.0006993774111626468
chr1	89620000	89655000	chr1	89695000	89805000	2.9695599163545307e-15
chr1	89790000	89835000	chr1	89925000	90035000	5.7609731365145e-13
chr1	91490000	91525000	chr1	91880000	91965000	2.344341555521193e-06
chr1	92285000	92330000	chr1	92585000	92680000	0.0002770220752468029
chr1	92440000	92495000	chr1	92540000	92645000	0.0020148477368965153
chr1	92825000	92880000	chr1	92925000	93195000	2.602106713729012e-26
chr1	93420000	93465000	chr1	93785000	93880000	0.0007963827459930128
chr1	93610000	93655000	chr1	93750000	93885000	4.921398682133635e-18
chr1	94835000	94880000	chr1	94985000	95100000	6.170589883530874e-10
chr1	99790000	99825000	chr1	100410000	100520000	0.0003366224898238135
chr1	100895000	100940000	chr1	101240000	101530000	6.715841103458928e-28
chr1	101110000	101155000	chr1	101205000	101300000	0.003967742423429268
chr1	101275000	101330000	chr1	101380000	101490000	0.0048171365520477205
chr1	102745000	102750000	chr1	103765000	103820000	0.003480461087523576
chr1	107760000	107805000	chr1	108075000	108205000	3.2923251365372423e-09
chr1	108510000	108515000	chr1	108555000	108650000	1.906135841912434e-34
chr1	109250000	109295000	chr1	109355000	109465000	2.9431976713918865e-08
chr1	109620000	109655000	chr1	109960000	110050000	3.3933113342502076e-06
chr1	109760000	109795000	chr1	109915000	110050000	1.0579154247449727e-26
chr1	110180000	110225000	chr1	110275000	110525000	2.2358718750709635e-29
chr1	110605000	110650000	chr1	110700000	110815000	1.2613496896633115e-17
chr1	111205000	111250000	chr1	111340000	111445000	0.0001608442498824433
chr1	111490000	111535000	chr1	111595000	111735000	5.669368468420863e-14
chr1	112375000	112410000	chr1	112600000	112750000	1.6460311097753095e-26
chr1	113125000	113170000	chr1	113615000	113715000	0.0005511547381960771
chr1	113815000	113850000	chr1	113880000	113980000	2.529545032332948e-12
chr1	113960000	113995000	chr1	114280000	114405000	0.0035095936791556532
chr1	114955000	115010000	chr1	115040000	115170000	2.2438465368458412e-07
chr1	115115000	115160000	chr1	115525000	115655000	8.556872996583938e-05
chr1	115585000	115630000	chr1	115690000	115815000	1.623946682498447e-13
chr1	115790000	115835000	chr1	115930000	116050000	8.737248430919138e-09
chr1	116120000	116165000	chr1	116425000	116550000	2.8760104200031986e-14
chr1	116710000	116755000	chr1	116825000	117065000	4.898055575833233e-14
chr1	117495000	117540000	chr1	117740000	117935000	0.00020404616351547158
chr1	119265000	119300000	chr1	119330000	119420000	7.162614507103193e-12
chr1	149810000	149825000	chr1	149865000	150335000	3.0372469486967566e-28
chr1	150050000	150085000	chr1	150135000	150235000	4.298830124450831e-12
chr1	151275000	151320000	chr1	151360000	151455000	0.00014256583051240894
chr1	153330000	153375000	chr1	153460000	153635000	3.860624826789839e-08
chr1	153650000	153705000	chr1	153725000	153830000	5.668436885425078e-07
chr1	153785000	153820000	chr1	153905000	154015000	3.010378859953433e-53
chr1	154655000	154680000	chr1	154855000	154945000	1.0147217610428656e-06
chr1	156435000	156480000	chr1	156555000	156650000	9.663520809038295e-06
chr1	157190000	157215000	chr1	157300000	157405000	3.478181185986728e-14
chr1	157350000	157395000	chr1	157440000	157535000	0.0009196348930945182
chr1	158480000	158525000	chr1	158950000	159085000	2.9244863040623755e-05
chr1	160070000	160125000	chr1	160320000	160425000	0.01638513099721319
chr1	160405000	160450000	chr1	160535000	160670000	2.1986523039428375e-20
chr1	160820000	160845000	chr1	160915000	161005000	2.1272986141816784e-08
chr1	162595000	162640000	chr1	162720000	162835000	6.534816432780151e-10
chr1	165375000	165420000	chr1	165530000	165640000	7.402063882435252e-10
chr1	165910000	165945000	chr1	166425000	166520000	0.000724156603774782
chr1	166880000	166935000	chr1	166990000	167160000	1.1821869411480663e-12
chr1	167240000	167295000	chr1	167325000	167470000	6.545567591756082e-16
chr1	168415000	168470000	chr1	168505000	168635000	5.257660023417933e-11
chr1	169570000	169625000	chr1	169655000	169800000	1.4829616763989437e-09
chr1	171975000	172020000	chr1	172420000	172515000	0.0019079003516193262
chr1	172070000	172105000	chr1	172380000	172465000	1.4476609352619505e-05
chr1	172170000	172195000	chr1	172320000	172400000	1.642008115123497e-05
chr1	174235000	174290000	chr1	174670000	174815000	1.6082910207555372e-17
chr1	174745000	174790000	chr1	174960000	175125000	7.496126092972055e-09
chr1	175015000	175050000	chr1	175085000	175225000	5.870405281756879e-16
chr1	175130000	175175000	chr1	175255000	175405000	6.8080791531487e-25
chr1	176545000	176590000	chr1	176795000	176905000	0.0003039727043039584
chr1	178010000	178055000	chr1	178135000	178240000	0.006745696619150816
chr1	178515000	178560000	chr1	178690000	179065000	1.9000285741366963e-38
chr1	179685000	179730000	chr1	179755000	179865000	1.4706225552591522e-13
chr1	179855000	179890000	chr1	180080000	180180000	0.0003952267372576895
chr1	180225000	180270000	chr1	180420000	180520000	6.356690925592291e-05
chr1	180495000	180540000	chr1	180830000	181115000	1.7274488004615524e-33
chr1	181170000	181205000	chr1	181375000	181505000	2.814972559850984e-22
chr1	181455000	181500000	chr1	181635000	181770000	1.009104442552879e-06
chr1	182425000	182470000	chr1	182740000	182860000	2.414583254188313e-06
chr1	182580000	182625000	chr1	182715000	182850000	1.6936412047619155e-23
chr1	182840000	182885000	chr1	183500000	183630000	0.00012151201517723876
chr1	182935000	182990000	chr1	183175000	183330000	1.8795302125110258e-05
chr1	183265000	183300000	chr1	183550000	183640000	0.02089251992552638
chr1	183455000	183490000	chr1	183560000	183660000	1.2327702600730358e-08
chr1	184775000	184830000	chr1	184930000	185045000	2.551274128002809e-06
chr1	186465000	186500000	chr1	186675000	186800000	0.002174354316341154
chr1	192445000	192490000	chr1	192605000	192860000	1.4693476959976398e-27
chr1	192790000	192835000	chr1	192945000	193070000	3.402306801561631e-07
chr1	196820000	196835000	chr1	197315000	197385000	0.00016910594148195312
chr1	197500000	197545000	chr1	197870000	197985000	0.005359018476085478
chr1	197605000	197620000	chr1	197835000	197920000	2.2378006242270866e-07
chr1	199665000	199710000	chr1	200225000	200355000	2.3065911809991802e-05
chr1	200600000	200645000	chr1	200755000	200870000	3.5129377741461594e-10
chr1	200955000	201000000	chr1	201040000	201135000	0.026667409508453324
